Id,name,addr1,addr2,latitude,longitude
155,오로라마카롱,경기 수원시 영통구 법조로149번길 229,(지번) 하동 965-2,37.2937136217185,127.069734298162
156,풉케이크샵,경기 수원시 영통구 도청로 95 유니코어 알파동 113호,(지번) 이의동 1351-6,37.2909056443517,127.047728679228
157,크리미어,경기 수원시 팔달구 수원천로255번길 6 28청춘청년몰 2층 2223호,(지번) 영동 8,37.276815687652,127.018660256526
158,움트 AK백화점 수원점,경기 수원시 팔달구 덕영대로 924 지하1층,(지번) 매산로1가 18,37.2655920786365,127.000179930083
159,바닐리,경기 수원시 영통구 센트럴타운로 107 광교월드스퀘어 1층 63호,(지번) 이의동 1331,37.2926192488137,127.048147267575
160,루베이크,경기 수원시 영통구 광교중앙로 232 드림타워4 101호,(지번) 하동 987,37.2915877375916,127.065594213103
161,플로드윤,경기 수원시 영통구 법조로149번길 62 1층,(지번) 하동 957-10,37.2943162049372,127.070394848636
162,루아베이킹스튜디오,경기 수원시 영통구 도청로 95 유니코어 알파동 1-108호,(지번) 이의동 1351-6,37.2909056443517,127.047728679228
163,스윗유니버스,경기 수원시 영통구 법조로149번길 232 103호,(지번) 하동 958-7,37.2940073739802,127.069710434276
164,오늘도스윗,경기 수원시 팔달구 정조로 847-1 3층,(지번) 신풍동 211,37.2837599433399,127.015970602947
165,쿠론느,경기 수원시 팔달구 정조로841번길 6 1층,(지번) 신풍동 226-1,37.2833380778422,127.015962845807
166,루이비아뜰리에,경기 수원시 영통구 센트럴타운로 107 푸르지오월드마크 월드스퀘어 1층 98호,(지번) 이의동 1331,37.2926192488137,127.048147267575
167,스위츠애비뉴,경기 수원시 영통구 도청로 95 베타동 1층 216호,(지번) 이의동 1351-7,37.2909056443517,127.047728679228
168,코카브라운,경기 수원시 영통구 센트럴타운로100번길 8 A타워 105호,(지번) 이의동 1325-3,37.292343768037,127.05081395437
169,탠저린,경기 수원시 영통구 센트럴타운로 107 광교푸르지오월드마크 204동 지하1층 56호,(지번) 이의동 1331,37.2926192488137,127.048147267575
