Id,name,addr1,addr2
100,안녕달곰,경기 오산시 오산대역로132번길 54 그랜드캐슬 상가 1층 102호,(지번) 수청동 596-6
101,파이브,경기 수원시 영통구 영일로 16-12 1층,(지번) 영통동 1016-5
102,오브위(OF Oui),경기 수원시 영통구 매영로393번길 13,(지번) 영통동 1003-11
103,카페드로잉,"경기 화성시 동탄대로 181 동탄린스트라우스더레이크 판매시설 B동 1층 C111,C112호",(지번) 송동 694
104,디저트카페보니타,경기 화성시 동탄대로10길 20,(지번) 산척동 699
105,나쿠펜다,경기 수원시 영통구 반달로 94,(지번) 영통동 1034-5
106,꽁냥꽁냥과자점,경기 수원시 영통구 영통로 237 에이스 하이엔드타워 영통 1층 117호,(지번) 신동 338
107,로뎀,경기 수원시 권선구 곡반정로65번길 9-3 1층 101호,(지번) 곡반정동 596-1
108,데일리테이블,경기 수원시 영통구 권선로882번길 87 1층,(지번) 신동 975
109,카페그라시아앤 디저트웍스,경기 오산시 은여울로7번길 47,(지번) 궐동 19
110,디아뜰리에,경기 수원시 영통구 청명남로34번길 3 플래티넘빌딩 1층 104호,(지번) 영통동 1011-6
111,두두시루,경기 수원시 영통구 반달로35번길 30 아이파크몰 223호,(지번) 영통동 1012-1
112,마미아뜰리에,경기 수원시 영통구 권선로882번길 31-29 1층 101호,(지번) 신동 933
113,디아즈 인계점,경기 수원시 팔달구 인계로166번길 48-7 HP빌딩 F층 루프탑,(지번) 인계동 1119-8
114,케키제작소,경기 수원시 영통구 권선로908번길 26-34 1층,(지번) 신동 931
115,"여름,달",경기 수원시 영통구 권선로882번길 31-8 1층 101호,(지번) 신동 925
116,크림노트,경기 화성시 동탄대로5길 21 라크몽 B동 2층 w203호,(지번) 송동 726-1
117,블레스유아뜰리에,경기 수원시 영통구 권선로882번길 107-62,(지번) 신동 978
118,카페그라시아,경기 오산시 대원로 8-5 1층,(지번) 원동 762-10
119,에트르,경기 수원시 영통구 효원로 393 밀레니엄플라자 118호,(지번) 매탄동 1267-5
120,마롱브런치&베이커리카페,"경기 화성시 정남면 세자로 251 2,3층",(지번) 정남면 보통리 117-3
121,카페보라동,경기 용인시 기흥구 용구대로1890번길 25,(지번) 보라동 389-5
122,카페나나,경기 오산시 청학로 81 1층,(지번) 청학동 3-9
123,하니디저트(하니과자점),경기 화성시 왕배산1길 20-7,(지번) 목동 453-4
124,슈슈팝,경기 화성시 왕배산2길 3-5 1층 102호,(지번) 목동 460-3
125,카페해랑,경기 오산시 운천로 39 라이온스빌딩 1층 103호,(지번) 원동 275-1
126,에그,경기 수원시 권선구 동수원로242번길 20,(지번) 권선동 1297-5
127,듀베이크,경기 용인시 기흥구 덕영대로2077번길 6-1 1층,(지번) 영덕동 42
128,나비,경기 용인시 기흥구 금화로82번길 9 주공프라자 1층 101호,(지번) 상갈동 459-3
129,달콤키친,경기 화성시 동탄장지천6길 43 1층 101호,(지번) 장지동 1021-2
130,REPOS,경기 오산시 서동로 42 1층,(지번) 서동 191
131,센텀커피,경기 수원시 팔달구 경수대로446번길 12 1층,(지번) 인계동 1025
132,소꿉과자당,경기 수원시 영통구 매탄로37번길 10-1 1층 코너상가,(지번) 매탄동 1171-4
133,브리앙뜨과자점,경기 수원시 권선구 세지로 46,(지번) 세류동 1089-19
134,제이델링 수원점,경기 수원시 영통구 월드컵로97번길 34,(지번) 원천동 616-3
135,류드엘라,경기 화성시 동탄대로4길 18 B 101호,(지번) 장지동 964
136,이레베이크,경기 수원시 영통구 동수원로514번길 22 1층 103호,(지번) 매탄동 196-23
137,은드림,경기 수원시 권선구 세권로 196 1층,(지번) 권선동 1062-16
138,솜즈,경기 용인시 기흥구 신갈로 95 1층 soms(솜즈),(지번) 신갈동 37-3
139,위위크,경기 수원시 팔달구 인계로 75 1층,(지번) 인계동 967-6
140,사월,경기 수원시 영통구 매여울로53번길 66 2층 201호,(지번) 매탄동 172-54
141,예스디저트,"경기 용인시 기흥구 신구로42번길 22 풍림아파트 106동 1층 106,107호",(지번) 구갈동 405-1
142,카페루나,경기 수원시 영통구 매여울로53번길 76-2 1층,(지번) 매탄동 172-57
143,라메종비올레뜨,경기 화성시 봉담읍 와우로15번길 29-8,(지번) 봉담읍 와우리 213-40
144,스위트코코,경기 수원시 권선구 효원로94번길 14 메디컬플라자 1층 102호,(지번) 세류동 1258-3
145,쁘띠빵앗간,경기 수원시 팔달구 정조로631번길 3 1층 102호,(지번) 매교동 167-13
146,어닛케이크,경기 오산시 경기대로 78-5,(지번) 원동 901-1
147,라플레아르띠,경기 수원시 팔달구 장다리로233번길 21 1층,(지번) 인계동 971-14
148,핑크쿼카,경기 수원시 영통구 광교호수공원로 277 광교중흥에스클래스상가 지하2층 180호,(지번) 원천동 589
149,버터서퍼,경기 수원시 영통구 광교호수공원로 277 어뮤즈스퀘어 지하2층 65호,(지번) 원천동 589
150,베리몽드,경기 수원시 팔달구 정조로715번길 22 1층,(지번) 매교동 18-5
151,축복쿠키,경기 수원시 영통구 광교호수공원로 277 중흥S클래스 어뮤즈스퀘어 지하2층 191호,(지번) 원천동 589
152,베린 드 르페르,경기 수원시 영통구 법조로 25 SK뷰레이크 1층 150호,(지번) 하동 1016-1
153,이에우,경기 수원시 팔달구 행궁로 98 교동빌딩 1층,(지번) 교동 103-1
154,가또브랑제리,경기 수원시 권선구 고색로14번길 39 1층 104호,(지번) 고색동 373-20
155,오로라마카롱,경기 수원시 영통구 법조로149번길 229,(지번) 하동 965-2
156,풉케이크샵,경기 수원시 영통구 도청로 95 유니코어 알파동 113호,(지번) 이의동 1351-6
157,크리미어,경기 수원시 팔달구 수원천로255번길 6 28청춘청년몰 2층 2223호,(지번) 영동 8
158,움트 AK백화점 수원점,경기 수원시 팔달구 덕영대로 924 지하1층,(지번) 매산로1가 18
159,바닐리,경기 수원시 영통구 센트럴타운로 107 광교월드스퀘어 1층 63호,(지번) 이의동 1331
160,루베이크,경기 수원시 영통구 광교중앙로 232 드림타워4 101호,(지번) 하동 987
161,플로드윤,경기 수원시 영통구 법조로149번길 62 1층,(지번) 하동 957-10
162,루아베이킹스튜디오,경기 수원시 영통구 도청로 95 유니코어 알파동 1-108호,(지번) 이의동 1351-6
163,스윗유니버스,경기 수원시 영통구 법조로149번길 232 103호,(지번) 하동 958-7
164,오늘도스윗,경기 수원시 팔달구 정조로 847-1 3층,(지번) 신풍동 211
165,쿠론느,경기 수원시 팔달구 정조로841번길 6 1층,(지번) 신풍동 226-1
166,루이비아뜰리에,경기 수원시 영통구 센트럴타운로 107 푸르지오월드마크 월드스퀘어 1층 98호,(지번) 이의동 1331
167,스위츠애비뉴,경기 수원시 영통구 도청로 95 베타동 1층 216호,(지번) 이의동 1351-7
168,코카브라운,경기 수원시 영통구 센트럴타운로100번길 8 A타워 105호,(지번) 이의동 1325-3
169,탠저린,경기 수원시 영통구 센트럴타운로 107 광교푸르지오월드마크 204동 지하1층 56호,(지번) 이의동 1331
